Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1984,1984,ha,80998,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1985,1985,ha,79655,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1986,1986,ha,78633,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1987,1987,ha,76054,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1988,1988,ha,68284,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1989,1989,ha,66979,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1990,1990,ha,62629,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1991,1991,ha,61321,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1992,1992,ha,57763,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1993,1993,ha,53361,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1994,1994,ha,57983,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1995,1995,ha,55946,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1996,1996,ha,47941,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1997,1997,ha,49812,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1998,1998,ha,42811,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,1999,1999,ha,43158,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,2000,2000,ha,43900,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,2001,2001,ha,42708,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,2002,2002,ha,43895,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,2003,2003,ha,46351,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,2004,2004,ha,46844,A,Official figure
QCL,Crops and livestock products,76,Brazil,5312,Area harvested,1530,Sweet potatoes,2005,2005,ha,45311,A,Official figure
